"Record number","created_at","entry_id","field1","latitude","longitude","elevation","status","Updated by","Created by","Updated datetime","Created datetime"
"24","02/24/2024 22:38","24","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"23","02/24/2024 22:37","23","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"22","02/24/2024 22:37","22","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"21","02/24/2024 22:31","21","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"20","02/24/2024 22:29","20","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"19","02/24/2024 22:29","19","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"18","02/24/2024 22:29","18","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"17","02/24/2024 22:28","17","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"16","02/24/2024 22:28","16","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"15","02/24/2024 22:28","15","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"14","02/24/2024 22:28","14","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"13","02/24/2024 22:27","13","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"12","02/24/2024 22:27","12","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"11","02/24/2024 22:27","11","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"10","02/24/2024 22:27","10","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"9","02/24/2024 22:26","9","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"8","02/24/2024 22:26","8","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"7","02/24/2024 22:26","7","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"6","02/24/2024 22:26","6","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"5","02/24/2024 22:25","5","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"4","02/24/2024 22:25","4","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"3","02/24/2024 22:25","3","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"2","02/24/2024 22:25","2","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
"1","02/24/2024 22:23","1","0b'No touch\r\n'","","","","","eudiusj@gmail.com","eudiusj@gmail.com","02/24/2024 23:19","02/24/2024 23:19"
